"","lav1","lav2","lav3","lav4","lav5","lav6","høj1","høj2","høj3","høj4","høj5","høj6"
"1",11,21,33,470,274,102,15,30,45,1805,7571,1377
"2",16,17,59,109,335,1428,19,28,50,2980,9574,1036
"3",14,12,48,524,449,164,18,26,66,2302,11586,2258
"4",13,15,31,194,755,1659,19,22,48,1185,19871,1157
"5",11,12,35,553,12168,233,12,23,57,4570,207476,1409
"6",11,19,25,1037,189,948,13,26,48,1066,1236,935
"7",9,19,41,3451,1762,672,15,28,51,1126,1416,3760
"8",11,18,41,187,519,1059,23,24,57,1342,2420,1476
"9",11,28,29,273,207,1261,17,21,52,1615,6828,2089
"10",8,12,33,224,768,288,15,25,66,2038,1515,1236
"11",10,19,53,170,2856,95,16,33,89,1304,6156,4509
"12",13,13,28,2817,734,299,13,24,59,2818,2570,2442
"13",11,12,52,911,99,211,13,20,78,6466,1879,906
"14",13,21,24,141,259,198,15,24,68,855,4442,1849
"15",14,14,33,1331,653,212,13,26,49,2073,8150,1983
"16",12,11,28,510,175,383,12,22,54,2964,3143,1053
"17",12,17,52,332,213,94,14,33,45,2484,6393,1208
"18",11,22,25,274,457,849,15,22,69,2995,765,1972
"19",12,17,41,214,1148,599,13,23,43,808,2613,1366
"20",12,26,49,115,537,110,12,24,54,2217,1242,3059
"21",12,22,35,2649,303,5082,14,31,59,2563,15922,10182
"22",8,15,26,1836,631,322,12,31,53,1198,24177,928
"23",10,17,64,122,193,470,22,22,65,1061,5296,1874
"24",9,20,27,341,216,273,24,20,72,657,7952,1387
"25",10,17,53,631,1761,192,12,20,46,1430,1119,1763
"26",8,26,40,1256,1240,785,13,19,72,1175,107052,1036
"27",9,20,35,137,708,273,13,28,61,2398,8497,610
"28",8,28,45,193,1091,356,12,21,62,1529,1216,976
"29",17,30,28,191,472,248,13,26,49,959,17675,990
"30",11,15,51,404,839,258,14,23,57,1009,2916,1647
"31",9,17,46,942,439,67,12,25,56,928,1762,4932
"32",10,20,35,329,2369,262,15,24,92,757,9674,2190
"33",12,15,29,314,265,461,13,29,65,2348,1226,2901
"34",12,18,28,411,307,116,12,22,59,1120,3209,811
"35",9,14,60,425,98,420,12,24,58,863,186789,2065
"36",8,15,40,158,178,444,22,22,64,4692,23016,2100
"37",12,12,23,561,252,222,15,26,62,1031,14025,4795
"38",9,29,25,540,198,129,13,26,49,1005,7609,3161
"39",9,16,64,353,40,190,13,28,56,1316,1466,2112
"40",9,17,30,390,264,272,15,39,53,990,1425,2138
"41",16,18,29,327,754,269,14,22,62,1302,11678,2124
"42",7,16,28,105,143,1308,15,23,57,1309,2485,610
"43",10,15,83,151,1559,243,14,26,63,1554,24236,907
"44",9,15,36,694,615,203,21,24,52,4470,5505,1189
"45",10,21,56,424,129,1175,12,30,49,1426,3045,1428
"46",10,16,66,798,1029,408,15,24,57,4125,56487,1012
"47",8,15,33,1352,166,951,14,25,51,5770,2643,5002
"48",7,34,33,1125,213,366,11,25,46,1192,2146,1802
"49",8,15,72,257,2741,259,14,29,48,3156,3682,2351
"50",12,16,52,116,935,1767,15,22,111,1084,1928,1241
"51",14,10,59,828,2260,618,16,32,49,1427,13249,1733
"52",7,15,32,165,769,257,15,26,52,814,4795,1715
"53",10,15,36,272,200,515,13,26,68,1123,332,4099
"54",8,13,40,202,394,607,13,27,88,878,4953,1441
"55",9,17,30,190,151,252,15,19,89,2022,61548,2707
"56",10,19,72,136,52,502,12,22,43,1490,2073,2591
"57",11,13,50,238,7745,665,12,17,57,1284,2126,743
"58",7,14,32,295,1481,272,12,22,65,2315,2725,1927
"59",9,23,36,219,133,102,12,32,67,875,9540,2770
"60",10,10,39,257,485,1067,12,21,46,2252,60164,1189
"61",9,30,29,291,3087,303,14,22,51,1040,945,2283
"62",12,26,37,370,297,305,17,33,64,3930,13950,2390
"63",8,24,31,206,170,1192,17,26,61,1430,6929,1570
"64",12,13,50,595,1397,650,14,18,50,799,4299,906
